Date,Price,Open,High,Low,Change %
2020-11-09,1207.0,1207.0,1207.0,1207.0,0.92
2020-11-10,1200.0,1200.0,1200.0,1200.0,-0.58
2020-11-11,1141.0,1141.0,1141.0,1141.0,-4.92
2020-11-12,1124.0,1124.0,1124.0,1124.0,-1.49
2020-11-16,1111.0,1111.0,1111.0,1111.0,-1.16
2020-11-17,1112.0,1112.0,1112.0,1112.0,0.09
2020-11-18,1115.0,1115.0,1115.0,1115.0,0.27
2020-11-19,1134.0,1134.0,1134.0,1134.0,1.7
2020-11-20,1148.0,1148.0,1148.0,1148.0,1.23
2020-11-23,1169.0,1169.0,1169.0,1169.0,1.83
2020-11-24,1178.0,1178.0,1178.0,1178.0,0.77
2020-11-25,1197.0,1197.0,1197.0,1197.0,1.61
2020-11-26,1219.0,1219.0,1219.0,1219.0,1.84
2020-11-27,1230.0,1230.0,1230.0,1230.0,0.9
2020-11-30,1227.0,1227.0,1227.0,1227.0,-0.24
2020-12-01,1211.0,1211.0,1211.0,1211.0,-1.3
2020-12-02,1201.0,1201.0,1201.0,1201.0,-0.83
2020-12-03,1189.0,1189.0,1189.0,1189.0,-1.0
2020-12-04,1197.0,1197.0,1197.0,1197.0,0.67
2020-12-07,1162.0,1162.0,1162.0,1162.0,-2.92
2020-12-08,1121.0,1121.0,1121.0,1121.0,-3.53
2020-12-09,1122.0,1122.0,1122.0,1122.0,0.09
2020-12-10,1161.0,1161.0,1161.0,1161.0,3.48
2020-12-11,1211.0,1211.0,1211.0,1211.0,4.31
2020-12-14,1235.0,1235.0,1235.0,1235.0,1.98
2020-12-15,1273.0,1273.0,1273.0,1273.0,3.08
2020-12-16,1296.0,1296.0,1296.0,1296.0,1.81
2020-12-17,1301.0,1301.0,1301.0,1301.0,0.39
2020-12-18,1325.0,1325.0,1325.0,1325.0,1.84
2020-12-21,1323.0,1323.0,1323.0,1323.0,-0.15
2020-12-22,1330.0,1330.0,1330.0,1330.0,0.53
2020-12-23,1362.0,1362.0,1362.0,1362.0,2.41
2020-12-24,1366.0,1366.0,1366.0,1366.0,0.29
2021-01-04,1374.0,1374.0,1374.0,1374.0,0.59
2021-01-05,1418.0,1418.0,1418.0,1418.0,3.2
2021-01-06,1425.0,1425.0,1425.0,1425.0,0.49
2021-01-07,1448.0,1448.0,1448.0,1448.0,1.61
2021-01-08,1606.0,1606.0,1606.0,1606.0,10.91
