Date,Price,Open,High,Low,Change %
2010-03-01,2998.0,2760.0,3574.0,2760.0,9.5
2010-04-01,3354.0,2991.0,3359.0,2911.0,11.87
2010-05-01,4078.0,3352.0,4209.0,3352.0,21.59
2010-06-01,2406.0,4074.0,4074.0,2406.0,-41.0
2010-07-01,1967.0,2351.0,2351.0,1700.0,-18.25
2010-08-01,2713.0,1977.0,2861.0,1957.0,37.93
2010-09-01,2446.0,2741.0,2995.0,2444.0,-9.84
2010-10-01,2678.0,2452.0,2784.0,2452.0,9.48
2010-11-01,2099.0,2648.0,2648.0,2099.0,-21.62
2010-12-01,1773.0,2096.0,2179.0,1773.0,-15.53
2011-01-01,1107.0,1693.0,1693.0,1107.0,-37.56
2011-02-01,1251.0,1084.0,1301.0,1043.0,13.01
2011-03-01,1530.0,1262.0,1585.0,1262.0,22.3
2011-04-01,1269.0,1520.0,1520.0,1250.0,-17.06
2011-05-01,1480.0,1292.0,1480.0,1271.0,16.63
2011-06-01,1413.0,1485.0,1489.0,1400.0,-4.53
2011-07-01,1264.0,1422.0,1453.0,1264.0,-10.54
2011-08-01,1619.0,1256.0,1619.0,1253.0,28.09
2011-09-01,1899.0,1682.0,1928.0,1682.0,17.29
2011-10-01,1965.0,1886.0,2173.0,1885.0,3.48
2011-11-01,1846.0,1912.0,1912.0,1759.0,-6.06
2011-12-01,1738.0,1862.0,1930.0,1738.0,-5.85
2012-01-01,680.0,1624.0,1624.0,680.0,-60.87
2012-02-01,750.0,662.0,750.0,647.0,10.29
2012-03-01,934.0,763.0,934.0,763.0,24.53
2012-04-01,1155.0,934.0,1156.0,926.0,23.66
2012-05-01,923.0,1152.0,1165.0,923.0,-20.09
2012-06-01,1004.0,904.0,1004.0,872.0,8.78
2012-07-01,897.0,1013.0,1162.0,897.0,-10.66
2012-08-01,703.0,878.0,878.0,703.0,-21.63
2012-09-01,766.0,698.0,774.0,661.0,8.96
2012-10-01,1026.0,777.0,1109.0,777.0,33.94
2012-11-01,1086.0,1000.0,1104.0,916.0,5.85
2012-12-01,699.0,1077.0,1077.0,699.0,-35.64
2013-01-01,760.0,698.0,838.0,698.0,8.73
2013-02-01,757.0,750.0,757.0,735.0,-0.39
2013-03-01,910.0,776.0,935.0,776.0,20.21
2013-04-01,863.0,896.0,896.0,856.0,-5.16
2013-05-01,809.0,862.0,892.0,809.0,-6.26
2013-06-01,1171.0,806.0,1171.0,801.0,44.75
2013-07-01,1062.0,1179.0,1179.0,1062.0,-9.31
2013-08-01,1132.0,1066.0,1169.0,996.0,6.59
2013-09-01,2003.0,1139.0,2127.0,1139.0,76.94
2013-10-01,1504.0,1994.0,2146.0,1484.0,-24.91
2013-11-01,1821.0,1525.0,1821.0,1483.0,21.08
2013-12-01,2277.0,1865.0,2337.0,1865.0,25.04
2014-01-01,1110.0,2113.0,2113.0,1110.0,-51.25
2014-02-01,1258.0,1093.0,1258.0,1084.0,13.33
2014-03-01,1362.0,1276.0,1621.0,1276.0,8.27
2014-04-01,943.0,1316.0,1316.0,930.0,-30.76
2014-05-01,934.0,943.0,1027.0,934.0,-0.95
2014-06-01,850.0,934.0,1004.0,824.0,-8.99
2014-07-01,755.0,894.0,894.0,723.0,-11.18
2014-08-01,1147.0,751.0,1147.0,751.0,51.92
2014-09-01,1063.0,1151.0,1197.0,1038.0,-7.32
2014-10-01,1428.0,1055.0,1428.0,930.0,34.34
2014-11-01,1153.0,1456.0,1484.0,1153.0,-19.26
2014-12-01,782.0,1137.0,1137.0,782.0,-32.18
2015-01-01,608.0,771.0,771.0,608.0,-22.25
2015-02-01,540.0,590.0,590.0,509.0,-11.18
2015-03-01,602.0,548.0,602.0,548.0,11.48
2015-04-01,591.0,596.0,601.0,578.0,-1.83
2015-05-01,589.0,587.0,637.0,573.0,-0.34
2015-06-01,800.0,589.0,829.0,589.0,35.82
2015-07-01,1131.0,794.0,1131.0,794.0,41.38
2015-08-01,903.0,1151.0,1222.0,903.0,-20.16
2015-09-01,900.0,911.0,978.0,802.0,-0.33
2015-10-01,721.0,888.0,889.0,721.0,-19.89
2015-11-01,584.0,706.0,706.0,498.0,-19.0
2015-12-01,478.0,598.0,598.0,471.0,-18.15
2016-01-01,317.0,473.0,473.0,317.0,-33.68
2016-02-01,329.0,314.0,329.0,290.0,3.79
2016-03-01,429.0,332.0,429.0,332.0,30.4
2016-04-01,703.0,450.0,715.0,450.0,63.87
2016-05-01,612.0,682.0,682.0,579.0,-12.94
2016-06-01,660.0,612.0,660.0,580.0,7.84
2016-07-01,656.0,677.0,748.0,656.0,-0.61
2016-08-01,711.0,650.0,720.0,631.0,8.38
2016-09-01,875.0,712.0,941.0,712.0,23.07
2016-10-01,857.0,864.0,922.0,798.0,-2.06
2016-11-01,1204.0,838.0,1257.0,834.0,40.49
2016-12-01,961.0,1196.0,1198.0,914.0,-20.18
2017-01-01,800.0,953.0,983.0,800.0,-16.75
2017-02-01,859.0,786.0,878.0,685.0,7.38
2017-03-01,1297.0,871.0,1338.0,871.0,50.99
2017-04-01,1109.0,1282.0,1296.0,1109.0,-14.49
2017-05-01,878.0,1073.0,1073.0,878.0,-20.83
2017-06-01,901.0,850.0,929.0,818.0,2.62
2017-07-01,946.0,882.0,980.0,820.0,4.99
2017-08-01,1184.0,965.0,1266.0,965.0,25.16
2017-09-01,1356.0,1183.0,1503.0,1183.0,14.53
2017-10-01,1522.0,1328.0,1588.0,1308.0,12.24
2017-11-01,1578.0,1496.0,1578.0,1361.0,3.68
2017-12-01,1366.0,1626.0,1743.0,1366.0,-13.43
2018-01-01,1152.0,1230.0,1395.0,1125.0,-15.67
2018-02-01,1192.0,1114.0,1192.0,1082.0,3.47
2018-03-01,1055.0,1196.0,1212.0,1055.0,-11.49
2018-04-01,1341.0,1016.0,1376.0,948.0,27.11
2018-05-01,1090.0,1327.0,1476.0,1042.0,-18.72
2018-06-01,1385.0,1156.0,1445.0,1156.0,27.06
2018-07-01,1747.0,1422.0,1774.0,1422.0,26.14
2018-08-01,1579.0,1760.0,1773.0,1579.0,-9.62
2018-09-01,1540.0,1557.0,1557.0,1356.0,-2.47
2018-10-01,1490.0,1555.0,1584.0,1490.0,-3.25
2018-11-01,1231.0,1470.0,1470.0,1003.0,-17.38
2018-12-01,1271.0,1203.0,1406.0,1203.0,3.25
2019-01-01,668.0,1282.0,1282.0,668.0,-47.44
2019-02-01,658.0,645.0,658.0,595.0,-1.5
2019-03-01,689.0,664.0,730.0,645.0,4.71
2019-04-01,1011.0,685.0,1011.0,672.0,46.73
2019-05-01,1096.0,1031.0,1107.0,936.0,8.41
2019-06-01,1354.0,1103.0,1354.0,1062.0,23.54
2019-07-01,1868.0,1381.0,2191.0,1381.0,37.96
2019-08-01,2378.0,1812.0,2378.0,1712.0,27.3
2019-09-01,1823.0,2442.0,2518.0,1823.0,-23.34
2019-10-01,1731.0,1809.0,1929.0,1731.0,-5.05
2019-11-01,1528.0,1697.0,1697.0,1255.0,-11.73
2019-12-01,1090.0,1568.0,1606.0,1090.0,-28.66
2020-01-01,487.0,976.0,976.0,487.0,-55.32
2020-02-01,535.0,466.0,535.0,411.0,9.86
2020-03-01,626.0,539.0,633.0,539.0,17.01
2020-04-01,635.0,624.0,757.0,596.0,1.44
2020-05-01,504.0,617.0,617.0,393.0,-20.63
2020-06-01,1799.0,520.0,1799.0,520.0,256.94
2020-07-01,1350.0,1803.0,1956.0,1264.0,-24.96
2020-08-01,1488.0,1385.0,1598.0,1385.0,10.22
2020-09-01,1725.0,1471.0,1725.0,1267.0,15.93
2020-10-01,1283.0,1869.0,2097.0,1283.0,-25.62
2020-11-01,1227.0,1284.0,1284.0,1111.0,-4.36
2020-12-01,1366.0,1211.0,1366.0,1121.0,11.33
2021-01-01,1452.0,1374.0,1856.0,1374.0,6.3
2021-02-01,1675.0,1444.0,1770.0,1303.0,15.36
2021-03-01,2046.0,1651.0,2319.0,1651.0,22.15
2021-04-01,3053.0,2072.0,3053.0,2072.0,49.22
2021-05-01,2596.0,3157.0,3266.0,2596.0,-14.97
2021-06-01,3383.0,2568.0,3418.0,2420.0,30.32
2021-07-01,3292.0,3338.0,3338.0,3039.0,-2.69
2021-08-01,4132.0,3282.0,4235.0,3281.0,25.52
2021-09-01,5167.0,4013.0,5197.0,3618.0,25.05
2021-10-01,3519.0,5202.0,5650.0,3519.0,-31.89
2021-11-01,3018.0,3428.0,3428.0,2430.0,-14.24
2021-12-01,2217.0,3047.0,3423.0,2217.0,-26.54
2022-01-01,1418.0,2285.0,2296.0,1296.0,-36.04
2022-02-01,2040.0,1440.0,2244.0,1419.0,43.86
2022-03-01,2358.0,2069.0,2727.0,2069.0,15.59
2022-04-01,2404.0,2357.0,2425.0,2031.0,1.95
2022-05-01,2566.0,2412.0,3369.0,2412.0,6.74
2022-06-01,2240.0,2633.0,2633.0,2186.0,-12.7
2022-07-01,1895.0,2214.0,2214.0,1895.0,-15.4
2022-08-01,965.0,1872.0,1872.0,965.0,-49.08
2022-09-01,1760.0,1002.0,1086.0,1002.0,82.38
2022-10-01,1463.0,1788.0,1788.0,1788.0,-16.88
2022-11-01,1355.0,1377.0,1377.0,1377.0,-7.38
2022-12-01,1515.0,1338.0,1338.0,1338.0,11.81
2023-01-01,681.0,1250.0,1250.0,1250.0,-55.05
2023-02-01,990.0,668.0,668.0,668.0,45.37
2023-03-01,1389.0,1099.0,1099.0,1099.0,40.3
2023-04-01,1576.0,1412.0,1412.0,1412.0,13.46
2023-05-01,977.0,1552.0,1552.0,1552.0,-38.01
2023-06-01,1091.0,937.0,937.0,937.0,11.67
2023-07-01,1127.0,1068.0,1068.0,1068.0,3.3
2023-08-01,1086.0,1150.0,1150.0,1150.0,-3.64
2023-09-01,1701.0,1065.0,1065.0,1065.0,56.63
2023-10-01,1459.0,1737.0,1737.0,1737.0,-14.23
2023-11-01,2937.0,1401.0,1401.0,1401.0,101.3
2023-12-01,2094.0,3192.0,3192.0,3192.0,-28.7
2024-01-01,1398.0,2093.0,2093.0,2093.0,-33.24
2024-02-01,2111.0,1388.0,1388.0,1388.0,51.0
2024-03-01,1821.0,2203.0,2203.0,2203.0,-13.74
2024-04-01,1685.0,1714.0,1714.0,1714.0,-7.47
2024-05-01,1815.0,1688.0,1688.0,1688.0,7.72
2024-06-01,2050.0,1808.0,1808.0,1808.0,12.95
2024-07-01,1708.0,2158.0,2179.0,1708.0,-16.68
2024-08-01,1814.0,1668.0,1827.0,1655.0,6.21
2024-09-01,2084.0,1919.0,2110.0,1890.0,14.88
2024-10-01,1388.0,2030.0,2030.0,1382.0,-33.4
2024-11-01,1354.0,1378.0,1378.0,1378.0,-2.45
2024-12-01,997.0,1298.0,1298.0,1298.0,-26.37
2025-01-01,735.0,746.0,746.0,715.0,-26.28
2025-02-01,1229.0,738.0,1229.0,738.0,67.21
2025-03-01,1598.0,1658.0,1658.0,1598.0,30.02
2025-04-01,1386.0,1587.0,1587.0,1241.0,-13.27
2025-05-01,1418.0,1411.0,1421.0,1267.0,2.31
2025-06-01,1489.0,1422.0,1975.0,1422.0,5.01
2025-07-01,2003.0,2003.0,2003.0,2003.0,34.52
2025-08-01,2025.0,2025.0,2025.0,2025.0,1.1
2025-09-01,2134.0,2134.0,2134.0,2134.0,5.38
2025-10-01,1966.0,1966.0,1966.0,1966.0,-7.87
2025-11-01,2560.0,2560.0,2560.0,2560.0,30.21
2025-12-01,1877.0,1979.0,1979.0,1877.0,-26.68
2026-01-01,2148.0,2148.0,2148.0,2148.0,14.44
2026-02-01,2140.0,2140.0,2140.0,2140.0,-0.37
2026-03-01,1995.0,1995.0,1995.0,1995.0,-6.78
2026-04-01,2686.0,2686.0,2686.0,2686.0,34.64
2026-05-01,3224.0,3226.0,3226.0,3224.0,20.03
2026-06-01,2501.0,2490.0,2501.0,2490.0,-22.43
2026-07-01,2732.0,2732.0,2732.0,2732.0,9.24
2026-08-01,3186.0,2791.0,3186.0,2791.0,16.62
